id,案件大類型,案件細節類型,主席,調解人,是否成立,調解次數,調解人數,have_other,調解天數,收件年,收件月,收件日,結案年,結案月,結案日,收件星期,結案星期,收件分鐘,結案分鐘,死,賠償,糾紛,二元成立,male_sum,male_mean,聲請人_sum,對造人_sum,法定代理人_sum,委任代理人_sum,公司代表人_sum,age_mean,age_median,age_min,age_max,party_count,age_missing_rate,city_missing_rate,city_mode,mask_all,money_sum,money_mean,money_first,money_last,調解人過去經手數,調解人過去成功數,調解人過去成功率,案件內容_匿名,LANE_1,ROADNAME_1,LANES_1,CAPACITY_1,SPEED_1,LANE_2,ROADNAME_2,LANES_2,CAPACITY_2,SPEED_2,載具1,載具2,受傷,死亡,車損
9800169,B.刑事,交通事故,390000000000000.0,264000000000000.0,成立,1.0,3.0,0.0,10.0,2009.0,3.0,86.0,2009.0,4.0,99.0,4.0,3.0,600.0,900.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,29.666666666666668,21.0,20.0,48.0,3.0,0.0,0.0,高雄,"[時間],[人名]騎乘[人名]所有[車號]機車與[人名]騎乘[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年2月19日8時10分許，[姓名]騎乘[姓名]所有[車牌]機車與[姓名]騎乘[車牌]機車，在台南市北區開元路與勝利路口東側發生車禍。,0,開元路,3.0,2950.0,46.0,0,勝利路,1.0,3920.0,50.0,機車,機車,0,0,0
9800172,B.刑事,交通事故,390000000000000.0,277000000000000.0,成立,3.0,3.0,1.0,34.0,2009.0,3.0,88.0,2009.0,5.0,134.0,6.0,3.0,797.0,840.0,0.0,0.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.0,0.0,49.5,57.5,19.0,64.0,4.0,0.0,0.5,台南,"[時間],[人名]駕駛本人所有[車號]自小客車與[人名]騎乘[人名]所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國97年12月4日12時25分許，[姓名]駛本人所有[車牌]自小客車與[姓名]騎乘[姓名]所有[車牌]機車，在台南市北區北安路與北成路口發生車禍。,0,北安路,2.0,1850.0,37.0,0,北成路,1.0,1760.0,32.0,自小客車,機車,0,0,0
9800174,B.刑事,交通事故,390000000000000.0,3.85e+19,聲請人撤回,1.0,3.0,0.0,9.0,2009.0,4.0,92.0,2009.0,4.0,104.0,3.0,1.0,702.0,900.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,38.5,38.5,34.0,43.0,2.0,0.0,0.0,台南,"[時間],[人名]騎乘 所有[車號]機車與[人名]駕駛 所有[車號]自小客車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,民國97年10月24日10時45分許，[姓名]騎乘        所有[車牌]號機車與[姓名]駕駛       所有[車牌]號自小客車，在臺南市北區育賢路口發生車禍。,0,,,,,0,,,,,機車,自小客車,0,0,0
9800176,B.刑事,交通事故,390000000000000.0,341000000000000.0,成立,3.0,5.0,1.0,35.0,2009.0,4.0,93.0,2009.0,5.0,141.0,4.0,3.0,820.0,900.0,0.0,0.0,1.0,1.0,4.0,0.8,1.0,2.0,2.0,1.0,0.0,40.0,43.0,19.0,50.0,5.0,0.0,0.0,台南,"[時間],[人名]騎乘腳踏車與[人名]駕駛[人名]所有[車號]自小客車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年3月11日21時30分許，[姓名]騎乘腳踏車與[姓名]駛[姓名]所有[車牌]自小客車，在臺南縣永康市發生車禍。,0,,,,,0,,,,,腳踏車,自小客車,0,0,0
9800180,B.刑事,交通事故,390000000000000.0,,不成立,2.0,3.0,0.0,18.0,2009.0,4.0,93.0,2009.0,4.0,118.0,4.0,1.0,974.0,900.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,28.33333333333333,24.0,20.0,41.0,3.0,0.0,0.0,台南,"[時間],[人名]騎乘 所有[車號]機車與[人名]騎乘 所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,,,,民國97年9月2日13時40分許，[姓名]騎乘       所有[車牌]號機車與[姓名]騎乘         所有[車牌]號機車，在臺南市安南區安和路5段131號前發生車禍。,0,安和路,1.0,1860.0,43.0,0,,,,,機車,機車,0,0,0
9800183,B.刑事,交通事故,390000000000000.0,296000000000000.0,不成立,2.0,2.0,0.0,62.0,2009.0,4.0,96.0,2009.0,6.0,181.0,0.0,1.0,501.0,900.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,52.5,52.5,50.0,55.0,2.0,0.0,0.0,台南,"[時間],[人名]駕駛[人名]所有[車號]自小客車與[人名]騎乘[人名]所有[車號]機車搭載[人名],在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國97年11月19日7時20分許，[姓名]駛[姓名]所有[車牌]自小客車與[姓名]騎乘[姓名]所有[車牌]機車搭載[姓名]，在臺南市安南區安中路1段189巷與安通2街136巷口處發生車禍。,1,安中路,1.0,1760.0,32.0,1,,,,,自小客車,機車,0,0,0
9800184,B.刑事,交通事故,390000000000000.0,304000000000000.0,不成立,1.0,3.0,1.0,9.0,2009.0,4.0,96.0,2009.0,4.0,106.0,0.0,3.0,519.0,870.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,,,,,3.0,1.0,0.3333333333333333,台南,"[時間],[人名]駕駛 所有(車號:[車號])自用小客車與[人名]騎乘 所有(車號:[車號])自用小客車在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,民國97年7月26日7時20分許，[姓名]駛自用小客車與[姓名]騎乘自用小客車在臺南市大潤發入口附近路口處發生車禍。,0,,,,,0,,,,,自小客車,自小客車,0,0,0
9800186,B.刑事,交通事故,390000000000000.0,385000000000000.0,成立,1.0,4.0,1.0,14.0,2009.0,3.0,78.0,2009.0,4.0,97.0,3.0,1.0,1189.0,830.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.0,34.25,34.5,17.0,51.0,4.0,0.0,0.0,台南,"[時間],[人名]騎乘[車號]機車搭載第3人[人名]與[人名]駕駛所有[車號]自小客車,在[地點]發生車禍,致[人名]身體受傷｡",-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,民國98年2月7日0時5分許，[姓名]騎乘[車牌]號機車搭載第3人[姓名]與[姓名]駛所有[車牌]號自小客車，在台南市北區海安路3段與338巷口處發生車禍，致[姓名]身體受傷。,0,海安路,2.0,1850.0,37.0,1,,,,,機車,自小客車,1,0,0
9800189,B.刑事,交通事故,390000000000000.0,341000000000000.0,成立,2.0,4.0,0.0,18.0,2009.0,4.0,100.0,2009.0,5.0,125.0,4.0,1.0,600.0,840.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,43.25,44.5,20.0,64.0,4.0,0.0,0.5,台南,"[時間],[人名]騎乘本人所有[車號]機車與[人名]駕駛[人名]所有[車號]自小客車､[人名]和騎乘本人所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,民國98年3月9日8時20分許，[姓名]騎乘本人所有[車牌]號機車與[姓名]駕駛[姓名]所有[車牌]號自小客車、[姓名]騎乘本人所有[車牌]號機車，在臺南市北區公園南路65號前發生車禍。,0,公園南路,2.0,1850.0,37.0,0,,,,,機車,自小客車,0,0,0
9800190,B.刑事,交通事故,390000000000000.0,277000000000000.0,成立,2.0,5.0,1.0,36.0,2009.0,4.0,92.0,2009.0,5.0,141.0,3.0,3.0,1000.0,900.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,41.66666666666666,39.0,38.0,48.0,3.0,0.0,0.3333333333333333,台南,"[時間],[人名]駕駛本人所有[車號]自小客車與[人名]騎乘 所有[車號]機車搭載[人名],在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,民國98年1月14日17時20分許，   自用小客車與林慧碧騎乘         自用機車搭載林佳怡，在臺南市北區北安路與北成路口處發生車禍。,0,北安路,2.0,1850.0,37.0,0,北成路,1.0,1760.0,32.0,自小客車,機車,0,0,0
9800191,B.刑事,交通事故,390000000000000.0,277000000000000.0,當事人不到場,1.0,2.0,0.0,15.0,2009.0,4.0,93.0,2009.0,4.0,113.0,4.0,3.0,600.0,870.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,49.0,49.0,49.0,49.0,2.0,0.5,0.0,台北,"[時間],[人名]駕駛 所有[車號]自小客車與[人名]駕駛本人所有[車號]自小客車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,民國98年3月14日13時30分許，[姓名]駕駛所有[車牌]自小客車與[姓名]駕駛本人所有[車牌]自小客車，在台南市北區和緯路與中華北路口處發生車禍。,0,和緯路,1.0,1760.0,32.0,0,中華北路,2.0,1850.0,37.0,自小客車,自小客車,0,0,0
9800194,B.刑事,交通事故,390000000000000.0,385000000000000.0,不成立,1.0,3.0,1.0,13.0,2009.0,4.0,100.0,2009.0,4.0,118.0,4.0,1.0,906.0,830.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,44.5,44.5,41.0,48.0,3.0,0.3333333333333333,0.6666666666666666,台南,"[時間],[人名]騎乘 所有(車號: - 號)機車與[人名]騎乘 所有(車號:[車號])機車在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,3.0,3.0,1.0,民國98年3月21日17時20分許，[姓名]騎乘[車牌]機車與[姓名]騎乘[車牌]機車在臺南市長榮路5段40號人行道發生車禍。,0,長榮路,1.0,3920.0,50.0,0,,,,,機車,機車,0,0,0
9800195,A.民事,交通事故,390000000000000.0,265000000000000.0,成立,2.0,6.0,1.0,26.0,2009.0,4.0,99.0,2009.0,5.0,134.0,3.0,3.0,922.0,870.0,0.0,1.0,0.0,1.0,2.0,0.2857142857142857,5.0,1.0,1.0,1.0,0.0,43.71428571428572,47.0,18.0,80.0,7.0,0.0,0.1428571428571428,台南,"[時間],聲請人[人名] 之配偶[人名]騎乘腳踏車與對造人[人名]騎乘 所有(車號:[車號])機車,在[地點]發生車禍,致聲請人之配偶死亡｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年3月12日15時許，聲請人[姓名]  之配偶[姓名]騎乘腳踏車與對造人[姓名]騎乘所有（車號：[車牌]號）機車，在臺南市東門路發生車禍，致聲請人之配偶死亡。,0,東門路,1.0,950.0,46.0,0,,,,,腳踏車,機車,0,1,0
9800196,B.刑事,交通事故,390000000000000.0,341000000000000.0,成立,1.0,2.0,0.0,17.0,2009.0,4.0,98.0,2009.0,4.0,120.0,2.0,3.0,581.0,870.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,34.0,24.0,44.0,2.0,0.0,0.5,台南,"[時間],[人名]騎乘本人所有(車號:[車號])機車與[人名]騎乘本人所有(車號:[車號])機車在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,民國98年4月7日7時45分許，[姓名]騎乘本人所有（[車牌]）機車與[姓名]騎乘本人所有（[車牌]）機車在臺南市立賢路1段與立賢路1段650巷口處發生車禍。,0,立賢路,1.0,1760.0,32.0,1,立賢路,1.0,1760.0,32.0,機車,機車,0,0,0
9800200,B.刑事,交通事故,390000000000000.0,341000000000000.0,成立,2.0,8.0,1.0,18.0,2009.0,4.0,107.0,2009.0,5.0,132.0,4.0,1.0,569.0,600.0,0.0,0.0,1.0,1.0,1.0,0.1666666666666666,2.0,2.0,2.0,1.0,0.0,31.666666666666668,31.0,18.0,46.0,6.0,0.0,0.0,台南,"[時間],[人名]騎乘[人名]所有[車號]機車搭載[人名]與[人名]駕駛[人名]所有[車號]自小客車,在[地點]發生車禍,致[人名]､[人名]身體受傷｡",-1.0,-1.0,-1.0,-1.0,3.0,3.0,1.0,民國98年4月4日13時8分許，[姓名]騎乘[姓名]所有[車牌]號機車搭載[姓名]與[姓名]駛[姓名]所有[車牌]號自小客車，在臺南市開元路與南園街口處發生車禍，致[姓名]、[姓名]身體受傷。,0,開元路,3.0,2950.0,46.0,0,南園街,1.0,1760.0,32.0,機車,自小客車,1,0,0
9800201,B.刑事,交通事故,390000000000000.0,304000000000000.0,成立,1.0,5.0,0.0,13.0,2009.0,4.0,107.0,2009.0,5.0,125.0,4.0,1.0,597.0,870.0,0.0,0.0,1.0,1.0,3.0,0.75,2.0,2.0,0.0,0.0,0.0,55.25,58.5,31.0,73.0,4.0,0.0,0.25,台南,"[時間],聲請人[人名]騎乘[人名]所有[車號]機車與[人名]駕駛[車號]自小客車搭載[人名],在[地點]發生車禍,致[人名]身體受傷｡",-1.0,-1.0,-1.0,-1.0,2.0,0.0,0.0,民國98年3月19日14時0分許，聲請人[姓名]騎乘[姓名]所有[車牌]號機車與[姓名]駛[車牌]號自小客車搭載[姓名]，在臺南市中西區海安路2段301巷口處發生車禍，致[姓名]身體受傷。,1,海安路,2.0,1850.0,37.0,0,,,,,機車,自小客車,1,0,0
9800207,B.刑事,交通事故,390000000000000.0,3.85e+19,成立,3.0,4.0,1.0,115.0,2009.0,4.0,107.0,2009.0,9.0,267.0,4.0,3.0,821.0,930.0,0.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,0.0,51.0,48.0,38.0,67.0,4.0,0.25,0.5,台南,"[時間],聲請人[人名]駕駛慶權工業股份有限公司所有[車號]自小客車與行人[人名]在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,3.0,2.0,0.666666667,民國98年3月10日17時5分許，聲請人[姓名]駛[公司]所有[車牌]自小客車與行人[姓名]在臺南市林森路與開南街路口處發生車禍。,0,林森路,2.0,1850.0,37.0,0,開南街,1.0,1760.0,32.0,自小客車,行人,0,0,0
9800211,B.刑事,交通事故,390000000000000.0,372000000000000.0,成立,1.0,3.0,0.0,14.0,2009.0,4.0,106.0,2009.0,5.0,125.0,3.0,1.0,545.0,900.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,2.0,0.0,1.0,0.0,29.666666666666668,24.0,21.0,44.0,3.0,0.0,0.0,台南,"[時間],聲請人[人名]騎乘本人所有[車號]機車與對造人[人名]騎乘[人名]所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,民國98年4月1日6時20分許，聲請人[姓名]騎乘本人所有[車牌]號機車與對造人[姓名]騎乘[姓名]所有[車牌]號機車，在臺南市北區大武街與實踐街口處發生車禍。,0,大武街,1.0,3920.0,40.0,0,實踐街,1.0,1860.0,43.0,機車,機車,0,0,0
9800215,B.刑事,交通事故,390000000000000.0,264000000000000.0,當事人不到場,3.0,5.0,1.0,42.0,2009.0,4.0,110.0,2009.0,6.0,167.0,0.0,1.0,809.0,900.0,0.0,0.0,1.0,0.0,2.0,0.4,2.0,1.0,2.0,0.0,0.0,37.0,45.0,17.0,49.0,5.0,0.4,0.0,台南,"[時間],聲請人[人名]騎乘[人名]所有[車號]機車與對造人[人名]騎乘[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,民國97年12月21日11時15分許，   自用機車在臺南市北區長榮路5段與北門路口處發生車禍。,0,長榮路,1.0,3920.0,50.0,0,北門路,1.0,1760.0,32.0,機車,機車,0,0,0
9800216,B.刑事,交通事故,390000000000000.0,385000000000000.0,當事人不到場,2.0,4.0,0.0,33.0,2009.0,4.0,107.0,2009.0,6.0,153.0,4.0,1.0,690.0,900.0,0.0,0.0,1.0,0.0,1.0,0.25,2.0,2.0,0.0,1.0,0.0,39.5,39.5,29.0,50.0,4.0,0.5,0.0,台南,"[時間],[人名]騎乘 所有[車號]機車搭在[地點]發生車禍,[時間]雙方於台南市第3分局私下達成和解,[人名]願給付聲請人2人新台幣19000元,惟[人名]現場給付新台幣10000元,餘款新台幣9000元迄今未給付｡",38000.0,12666.666666666666,19000.0,9000.0,4.0,3.0,0.75,民國98年4月17日11時30分許，[姓名]騎乘       所有[車牌]號機車搭在[姓名]與[姓名]駛[姓名]所有[車牌]號自小客車，在台南市安南區北安路2段433巷處發生車禍，98年2月2日雙方於台南市第3分局私下達成和解，[姓名]願給付聲請人2人新台幣一萬九仟元，惟[姓名]現場給付新台幣一萬元，餘款新台幣九仟元迄今未給付。,1,北安路,2.0,1850.0,37.0,0,,,,,機車,自小客車,0,0,0
9800217,B.刑事,交通事故,390000000000000.0,277000000000000.0,當事人不到場,1.0,2.0,0.0,9.0,2009.0,4.0,117.0,2009.0,5.0,127.0,0.0,3.0,830.0,900.0,0.0,1.0,0.0,0.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,51.0,51.0,25.0,77.0,2.0,0.0,0.0,台南,"[時間]30許,聲請人[人名]之父[人名]酒後騎乘 所有(車號:[車號])機車與對造人[人名]騎乘腳踏車,在[地點]發生車禍,致[人名]死亡及[人名]受傷｡",-1.0,-1.0,-1.0,-1.0,3.0,2.0,0.666666667,民國98年3月1日22時30許，聲請人[姓名]之父[姓名]酒後騎乘       所有（車號：[車牌]號）機車與對造人[姓名]騎乘腳踏車，在台南市和緯路1段70號前發生車禍，致[姓名]死亡及[姓名]受傷。,0,和緯路,1.0,1760.0,32.0,0,,,,,機車,腳踏車,1,1,0
9800220,B.刑事,交通事故,390000000000000.0,304000000000000.0,成立,1.0,3.0,0.0,12.0,2009.0,4.0,117.0,2009.0,5.0,132.0,0.0,1.0,918.0,870.0,0.0,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,2.0,0.0,1.0,0.0,39.333333333333336,45.0,20.0,53.0,3.0,0.0,0.0,高雄,"[時間],[人名]駕駛本人所有[車號]自小客車與[人名]騎乘[人名]所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,3.0,1.0,0.333333333,民國98年4月19日15時48分許，[姓名]駛本人所有[車牌]號自小客車與[姓名]騎乘[姓名]所有[車牌]號機車，在臺南市北區文賢路與和緯路口處發生車禍。,0,文賢路,2.0,1850.0,37.0,0,和緯路,1.0,1760.0,32.0,自小客車,機車,0,0,0
9800222,B.刑事,交通事故,390000000000000.0,264000000000000.0,成立,2.0,2.0,0.0,37.0,2009.0,4.0,112.0,2009.0,6.0,162.0,2.0,3.0,966.0,870.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,65.5,65.5,65.0,66.0,2.0,0.0,0.0,台南,"[時間],[人名]騎乘 所有[車號]機車與[人名]駕駛本人所有[車號]自小貨車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,2.0,1.0,0.5,民國98年3月11日4時50分許，[姓名]騎乘       所有[車牌]號機車與[姓名]駕駛本人所有[車牌]號自小貨車，在臺南市北區長北街與北華街口處發生車禍。,0,長北街,1.0,1760.0,32.0,0,北華街,1.0,860.0,32.0,機車,小貨車,0,0,0
